slug,start,league,pin_match,pm_hc_team,pin_fav,aligned,pm_hc,pin_hc,pin_hc_pow,hc_overround,pm_hc_vol,pm_hc_spread,pm_over,pin_over,pin_over_pow,ou_overround,pm_tot_vol,pm_ml,pin_ml,pin_ml_pow,ml_overround
cs2-rgg-pg5-2026-07-25,2026-07-25T17:00:00+00:00,CS2 - CCT European Series 6 Qualifier,Privateer vs ROUNDS,Privateer Gaming,Privateer,True,0.385,0.3875,0.3742,1.0754,,0.11,0.45,0.4527,0.4475,1.0722,,0.365,0.372,0.3569,1.0753
cs2-fokus-mouz-2026-07-25,2026-07-25T17:30:00+00:00,CS2 - BLAST Bounty Play-In,MOUZ vs FOKUS,MOUZ,MOUZ,True,0.525,0.5412,0.5442,1.0479,14747.1093,0.01,0.385,0.3787,0.3682,1.0564,831.4512,0.205,0.1969,0.1753,1.0452
lol-lll-png1-2026-07-25,2026-07-25T18:00:00+00:00,League of Legends - CBLOL,LOUD vs paiN,LOUD,LOUD,True,0.385,0.3869,0.3782,1.0506,2316.3618,0.01,0.455,0.4629,0.4589,1.0695,,0.645,0.6506,0.6626,1.0522
val-ef-gx-2026-07-25,2026-07-25T18:00:00+00:00,Valorant - Champions Tour: EMEA,Eternal Fire vs GIANTX,Eternal Fire,Eternal Fire,True,0.4,0.3992,0.3919,1.048,1630.8147,0.02,0.465,0.4658,0.4633,1.0473,,0.665,0.6733,0.6861,1.0483
dota2-lynx-kw1-2026-07-25,2026-07-25T19:00:00+00:00,Dota 2 - EPL Masters Play-In,Lynx vs KW,Team Lynx,Lynx,True,0.285,0.2873,0.2621,1.0744,,0.11,0.635,0.496,0.4955,1.0697,,0.505,0.5197,0.5215,1.0614
cs2-fx-keyd-2026-07-25,2026-07-25T19:00:00+00:00,CS2 - CCT South America Series,Fluxo vs Keyd Stars,Fluxo,Fluxo,True,0.4,0.4829,0.481,1.0705,445.3741,0.24,0.455,0.4138,0.4039,1.0741,104.0724,0.685,0.728,0.7603,1.0875
lol-fly-ly-2026-07-25,2026-07-25T20:00:00+00:00,League of Legends - LCS,FlyQuest vs LYON,LYON,FlyQuest,False,0.195,,,1.0543,255.5644,0.01,0.485,0.4808,0.4788,1.0701,262.5307,0.575,0.5645,0.5692,1.0485
val-g21-c9-2026-07-25,2026-07-25T21:00:00+00:00,Valorant - Champions Tour: Americas,G2 vs Cloud9,G2 Esports,G2,True,0.525,0.5227,0.5243,1.0475,1162.6598,0.03,0.395,0.3977,0.3903,1.0477,,0.785,0.785,0.8063,1.0476
cs2-isg-bsta-2026-07-25,2026-07-25T22:00:00+00:00,CS2 - CCT South America Series,Isurus vs BESTIA Academy,Isurus,Isurus,True,0.385,0.3875,0.3742,1.0754,,0.03,0.45,0.4527,0.4475,1.0722,,0.645,0.628,0.6431,1.0753
lol-dig-sen-2026-07-25,2026-07-25T23:00:00+00:00,League of Legends - LCS,Dignitas vs Sentinels,Sentinels,Sentinels,True,0.605,0.586,0.5925,1.0502,798.0882,0.01,0.35,0.3614,0.3447,1.0766,185,0.145,0.1718,0.1373,1.0641
val-sen-loud-2026-07-25,2026-07-26T00:00:00+00:00,Valorant - Champions Tour: Americas,Sentinels vs LOUD,Sentinels,Sentinels,True,0.305,0.3182,0.3049,1.0476,,0.03,0.485,0.4817,0.4803,1.0483,2.0408,0.565,0.5674,0.5721,1.046
val-pr1-drx1-2026-07-26,2026-07-26T08:00:00+00:00,Valorant - Champions Tour: Pacific,Paper Rex vs DRX,Paper Rex,Paper Rex,True,0.455,0.4609,0.4567,1.0689,948.8932,0.01,0.42,0.4323,0.4249,1.0708,,0.725,0.7231,0.7484,1.0715
val-th1-kc3-2026-07-26,2026-07-26T18:00:00+00:00,Valorant - Champions Tour: EMEA,Heretics vs Karmine Corp,Team Heretics,Heretics,True,0.305,0.3201,0.3069,1.0482,,0.03,0.475,0.4805,0.4791,1.0459,,0.565,0.562,0.5664,1.0472
val-fur-mibr-2026-07-26,2026-07-27T00:00:00+00:00,Valorant - Champions Tour: Americas,FURIA vs MIBR,MIBR,MIBR,True,0.435,0.438,0.4336,1.0472,,0.03,0.435,0.4417,0.4375,1.048,,0.29,0.2955,0.2804,1.0478
